Vert_Group,Genus,Species,Common_name,Population_1,Population_2,Population_3,Latitude,Longitude,LatLongEst,Elevation,Years,Year_1,Year_final,Breeding_Cycle,Moult,Life_Stage,LifeHistConf,Jan_Sampled,Feb_Sampled,Mar_Sampled,Apr_Sampled,May_Sampled,June_Sampled,July_Sampled,Aug_Sampled,Sept_Sampled,Oct_Sampled,Nov_Sampled,Dec_Sampled,Time_min,Time_max,CaptureMethod,SampleMethod,MaxLatency_A,MaxLate_Cort,LateStressCort,StressorType,MajorStressPop,Method,A_AntibodyKit,Cort_AntibodyKit,CORT,Androgen,M_A_Mean,M_A_SE,M_A_CV,M_A_N,M_A_Min,M_A_Max,M_A_RemoveOutlier,F_A_Mean,F_A_SE,F_A_CV,F_A_N,F_A_Min,F_A_Max,F_A_RemoveOutlier,M_BC_Mean,M_BC_SE,M_BC_CV,M_BC_N,M_BC_Min,M_BC_Max,M_BC_RemoveOutlir,F_BC_Mean,F_BC_SE,F_BC_CV,F_BC_N,F_BC_Min,F_BC_Max,F_BC_RemoveOutlir,M_SC_Mean,M_SC_SE,M_SC_CV,M_SC_N,M_SC_Min,M_SC_Max,M_SC_RemoveOutlier,F_SC_Mean,F_SC_SE,F_SC_CV,F_SC_N,F_SC_Min,F_SC_Max,F_SC_RemoveOutlier,OutlierCriteria,Notes,Lab_ID,Ref_ID
Bird,Parus,caeruleus,Blue tit,"Pirio, Corsica, France",null,null,42.377,8.75,Estimated,200,2002-2003,2002,2003,Breeding,null,Prebreeding,Y,N,N,N,Y,N,N,N,N,N,N,N,N,null,null,"mist nets, playback, decoy","Passive, Attractant",10,null,null,null,null,RIA,Sigma Chemical Company,null,null,testosterone,2.34,0.85,96.10635104,7,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Longitude from GPSO; Values calculated with Data Thief,Chastel,186
Bird,Parus,caeruleus,Blue tit,"Muro, Corsica, France",null,null,42.552,8.917,Estimated,280,2002-2003,2002,2003,Breeding,null,Prebreeding,Y,N,N,Y,N,N,N,N,N,N,N,N,N,null,null,"mist nets, playback, decoy","Passive, Attractant",10,null,null,null,null,RIA,Sigma Chemical Company,null,null,testosterone,2.72,0.54,101.2305345,26,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Longitude from GPSO; Values calculated with Data Thief,Chastel,186
Bird,Parus,caeruleus,Blue tit,"Muro, Corsica, France",null,null,42.552,8.917,Estimated,280,2002-2003,2002,2003,Breeding,null,Laying,Y,N,N,N,Y,N,N,N,N,N,N,N,N,null,null,"mist nets, playback, decoy","Passive, Attractant",10,null,null,null,null,RIA,Sigma Chemical Company,null,null,testosterone,2.79,0.99,127.9389162,13,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Longitude from GPSO; Values calculated with Data Thief,Chastel,186
Bird,Parus,caeruleus,Blue tit,"Muro, Corsica, France",null,null,42.552,8.917,Estimated,280,2002-2003,2002,2003,Breeding,null,Laying,Y,N,N,N,Y,N,N,N,N,N,N,N,N,null,null,"mist nets, playback, decoy","Passive, Attractant",10,null,null,null,null,RIA,Sigma Chemical Company,null,null,testosterone,2.88,1.26,97.82797402,5,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Longitude from GPSO; Values calculated with Data Thief,Chastel,186
Bird,Parus,caeruleus,Blue tit,"Kolbeterberg, Vienna, Austria",null,null,48.2,16.37,Estimated,186.6,2003,2003,2003,Breeding,null,Prebreeding,Y,N,N,Y,N,N,N,N,N,N,N,N,N,20:30,21:30,hand capture,Active,null,null,null,null,null,RIA,Endocrine Sciences/Esoterix,null,null,testosterone,0.23,0.03,78.26086957,36,0.05,2.4,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Coordinates  from GPSO,Goymann,188
Bird,Parus,caeruleus,Blue tit,"Kolbeterberg, Vienna, Austria",null,null,48.2,16.37,Estimated,186.6,2002,2002,2002,Breeding,null,"Prebreeding, Laying",Y,N,N,Y,Y,N,N,N,N,N,N,N,N,6:50,12:45,"mist nets, playback, decoy (taxidermic mount)","Passive, Attractant",12.5,null,null,null,null,RIA,Endocrine Sciences/Esoterix,null,null,testosterone,2.34,0.36,97.30085108,40,0.2,12.8,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Sampling time: 7.3 (mean); T varied in an age-dependent manner; Coordinates from GPSO,Goymann,188
Bird,Parus,caeruleus,Blue tit,"Kolbeterberg, Vienna, Austria",null,null,48.2,16.37,Estimated,186.6,2003,2003,2003,Breeding,null,Prebreeding,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,6:50,12:45,"mist nets, playback, decoy (taxidermic mount)","Passive, Attractant",12.5,null,null,null,null,RIA,Endocrine Sciences/Esoterix,null,null,testosterone,3.6,0.86,98.49641217,17,0.6,12.6,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Sampling time: 7.3 (mean); T varied in an age-dependent manner; Coordinates from GPSO,Goymann,188
Bird,Parus,caeruleus,Blue tit,"oak-dominated woodland, Loch Lomond, Scotland",null,null,56.217,-4.217,Reported,138,2008-2010,2008,2010,Breeding,N,Laying,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,null,null,in nest box,Active,null,3,null,null,null,RIA,null,null,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.9205,0.7022,72.13148433,9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"CORT not linked to body condition, but female CORT was negatively correlated with nestling mass (but not growth rate)",Heidinger,432
Bird,Parus,caeruleus,Blue tit,"oak-dominated woodland, Loch Lomond, Scotland",null,null,56.217,-4.217,Reported,138,2008,2008,2008,Breeding,N,Young care,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,null,null,in nest box,Active,null,3,null,null,null,RIA,null,null,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.406313514,0.275527818,49.20188008,37,0.8626,7.1247,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"CORT not linked to body condition, but female CORT was negatively correlated with nestling mass (but not growth rate)",Heidinger,432
Bird,Parus,caeruleus,Blue tit,"oak-dominated woodland, Loch Lomond, Scotland",null,null,56.217,-4.217,Reported,138,2008,2009,2009,Breeding,N,Young care,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,null,null,in nest box,Active,null,3,null,null,null,RIA,null,null,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.5583,0.381386881,49.11711354,21,0.3971,7.4729,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"CORT not linked to body condition, but female CORT was negatively correlated with nestling mass (but not growth rate)",Heidinger,432
Bird,Parus,caeruleus,Blue tit,"oak-dominated woodland, Loch Lomond, Scotland",null,null,56.217,-4.217,Reported,138,2008,2010,2010,Breeding,N,Young care,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,null,null,in nest box,Active,null,3,null,null,null,RIA,null,null,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.206133333,0.227413277,73.02408545,15,0.3006,3.7473,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"CORT not linked to body condition, but female CORT was negatively correlated with nestling mass (but not growth rate)",Heidinger,432
Bird,Parus,major,Great tit,"University of Antwerp, Belgium",null,null,51.223,4.41,Estimated,12,2000,2000,2000,Breeding,null,Incubation,Y,null,null,null,null,null,null,null,null,null,null,null,null,9:00,18:00,"mist net with decoy, playback",Active,2,2,null,null,null,RIA,"ICN Biomedicals, Inc","ICN Biomedicals, Inc",corticosterone,testosterone,0.197,null,null,12,null,null,null,null,null,null,null,null,null,null,35.307,5.234,51.35272851,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,MT_Mean data backtransformed; Data for STI condition,Darras,309
Bird,Parus,major,Great tit,"University of Antwerp, Belgium",null,null,51.223,4.41,Estimated,12,2000,2000,2000,Breeding,null,Young care,Y,null,null,null,null,null,null,null,null,null,null,null,null,9:00,18:00,"mist net with decoy, playback",Active,2,2,null,null,null,RIA,"ICN Biomedicals, Inc","ICN Biomedicals, Inc",corticosterone,testosterone,0.198,null,null,10,null,null,null,null,null,null,null,null,null,null,21.211,1.885,28.10283999,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,MT_Mean data backtransformed; Data for STI condition,Darras,309
Bird,Parus,major,Great tit,"University of Antwerp, Belgium",null,null,51.223,4.41,Estimated,12,2001,2001,2001,Breeding,null,Laying,Y,null,null,null,null,null,null,null,null,null,null,null,null,9:00,18:00,"mist net with decoy, playback",Active,2,2,null,null,null,RIA,"ICN Biomedicals, Inc","ICN Biomedicals, Inc",corticosterone,testosterone,0.218,null,null,10,null,null,null,null,null,null,null,null,null,null,51.498,6.914,42.45599391,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,MT_Mean data backtransformed; Data for STI condition,Darras,309
Bird,Parus,major,Great tit,"University of Antwerp, Belgium",null,null,51.223,4.41,Estimated,12,2000,2000,2000,Breeding,null,Young care,Y,null,null,null,null,null,null,null,null,null,null,null,null,9:00,18:00,mist net with decoy,Active,2,2,null,null,null,RIA,"ICN Biomedicals, Inc","ICN Biomedicals, Inc",corticosterone,testosterone,0.419,null,null,10,null,null,null,null,null,null,null,null,null,null,14.101,1.048,23.50235436,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,MT_Mean data backtransformed; Data for controls,Darras,309
Bird,Parus,major,Great tit,"University of Antwerp, Belgium",null,null,51.223,4.41,Estimated,12,2001,2001,2001,Breeding,null,Laying,Y,null,null,null,null,null,null,null,null,null,null,null,null,9:00,18:00,mist net with decoy,Active,2,2,null,null,null,RIA,"ICN Biomedicals, Inc","ICN Biomedicals, Inc",corticosterone,testosterone,0.47,null,null,10,null,null,null,null,null,null,null,null,null,null,13.997,1.885,42.5869357,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,MT_Mean data backtransformed; Data for controls,Darras,309
Bird,Parus,major,Great tit,"University of Antwerp, Belgium",null,null,51.223,4.41,Estimated,12,2000,2000,2000,Breeding,null,Incubation,Y,null,null,null,null,null,null,null,null,null,null,null,null,9:00,18:00,mist net with decoy,Active,2,2,null,null,null,RIA,"ICN Biomedicals, Inc","ICN Biomedicals, Inc",corticosterone,testosterone,0.559,null,null,12,null,null,null,null,null,null,null,null,null,null,23.165,2.933,43.86017715,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,MT_Mean data backtransformed; Data for controls,Darras,309
Bird,Parus,major,Great tit,"Harjavalta, Finland",null,null,61.333,22.167,Reported,38,1999,1999,1999,Breeding,null,Young care,Y,null,null,null,null,null,null,null,null,null,null,null,null,22:00,1:00,captured at nest,Active,null,null,null,null,pollution from copper smelter,RIA,null,Amersham Biotrak rat assay kit,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26.4,2.45,32.14791272,12,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Polluted, food supplemented.",Eeva,82
Bird,Parus,major,Great tit,"Harjavalta, Finland",null,null,61.333,22.167,Reported,38,1999,1999,1999,Breeding,null,Young care,Y,null,null,null,null,null,null,null,null,null,null,null,null,22:00,1:00,captured at nest,Active,null,null,null,null,pollution from copper smelter,RIA,null,Amersham Biotrak rat assay kit,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27.6,2.45,29.44105339,11,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Polluted.,Eeva,82
Bird,Parus,major,Great tit,"Harjavalta, Finland",null,null,61.333,22.167,Reported,38,1999,1999,1999,Breeding,null,Young care,Y,null,null,null,null,null,null,null,null,null,null,null,null,22:00,1:00,captured at nest,Active,null,null,null,null,null,RIA,null,Amersham Biotrak rat assay kit,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25.1,2.6,35.8831243,12,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Unpolluted.,Eeva,82
Bird,Parus,major,Great tit,"Harjavalta, Finland",null,null,61.333,22.167,Reported,38,1999,1999,1999,Breeding,null,Young care,Y,null,null,null,null,null,null,null,null,null,null,null,null,22:00,1:00,captured at nest,Active,null,null,null,null,null,RIA,null,Amersham Biotrak rat assay kit,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25.3,2.12,29.02725464,12,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Unpolluted, food supplemented. ",Eeva,82
Bird,Parus,major,Great tit,"Moeggingen, Germany",null,null,47.74,8.96,Estimated,297,2009-2010,2009,2010,Breeding,null,"Prebreeding, Incubation",Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,8:00,12:00,trap on nest,Active,null,3,30,Restraint,null,EIA,null,Assay Designs ,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12.6,2.75,106.9221713,24,null,null,null,10.1,2.05,99.43473213,24,null,null,null,26.477,2.053,67.15074042,75,3.275,65.011,N,null,null,null,null,null,null,null,null,null,Hau,57
Bird,Parus,major,Great tit,"Möggingen, Germany ",null,null,47.74,8.96,Reported,512,2009-2010,2009,2010,Breeding,null,Prebreeding,Y,N,N,Y,N,N,N,N,N,N,N,N,N,null,null,mist nets at a feeder,Attractant,null,3,30,Restraint,null,EIA,null,"Cat. No. 901-097; Assay Designs, Ann Arbor, MI, USA",corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19.5,2.5,115.3846154,81,null,null,null,14.98,2.16,118.0264485,67,null,null,null,58.26,6.5,97.90125046,77,null,null,null,43.77,7.65,137.6197401,62,null,null,null,null,Row data characterized by March 2009 and 2010,Hau,289
Bird,Parus,major,Great tit,"Möggingen, Germany ",null,null,47.74,8.96,Reported,512,2009-2010,2009,2010,Breeding,null,Young care,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,8:00,12:00,metal trap,Active,null,3,30,Restraint,null,EIA,null,"Cat. No. 901-097; Assay Designs, Ann Arbor, MI, USA",corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10.57,7.52,752.9252548,112,null,null,null,9.88,0.66,71.63675602,115,null,null,null,23.21,1.44,64.77398265,109,null,null,null,28.35,1.47,55.36262797,114,null,null,null,null,Row data characterized by May 2009 and 2010,Hau,289
Bird,Parus,major,Great tit,"Moggingen, southern Germany",null,null,47.766,9,Reported,950,2009,2009,2009,Breeding,N,Young care,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,8:00,12:00,in nest box with trap,Active,null,3,30,restraint,null,EIA,null,"Assay Designs, Ann Arbor, MI, USA, catalog # 901-097",corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9.82,1.09,71.07337494,41,1.02,26.05,null,8.88,0.87,62.73331179,41,0.92,22.62,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"didn't report stress-induced data, measured same birds multiple times, but does not report repeatability of measures",Hau,436
Bird,Parus,major,Great tit,"Moggingen, southern Germany",null,null,47.766,9,Reported,950,2010,2010,2010,Breeding,N,Young care,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,8:00,12:00,in nest box with trap,Active,null,3,30,restraint,null,EIA,null,"Assay Designs, Ann Arbor, MI, USA, catalog # 901-097",corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10.25,0.8,59.44018034,58,1.6,28.87,null,9.79,0.93,72.34595494,58,1.56,28.19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"didn't report stress-induced data, measured same birds multiple times, but does not report repeatability of measures",Hau,436
Bird,Parus,major,Great tit,"Oslo, Norway",null,null,59.95,10.75,Estimated,200,2003-2004,2003,2004,Nonbreeding,null,null,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,8:00,12:00,"funnel trap, baited or mistnet, baited",Attractant,null,3,30,Restraint,null,RIA,null,Endocrine Sciences/Esoterix,corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.1,0.31,56.56854249,32,1.04,7.18,N,2.46,0.35,63.62795058,20,1.03,6.59,N,null,null,null,32,null,null,null,null,null,null,20,null,null,null,null,"Provides rate of increase in cort; not ng/mL. Some birds cross-fostered by great tits, but no difference in baseline or stress-induced cort.",Landys,95
Bird,Parus,major,Great tit,"Gothenburg, south-west Sweden",null,null,57.716252,11.974983,Estimated,4,null,null,null,Nonbreeding,Y,Post-molt ,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,9:00,13:00,"mist net, traps in nest boxes",null,null,null,null,null,null,RIA,null,null,null,testosterone,0.2511111,0.0753888,127.3729398,18,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,only adults; August was excluded because all but 4 males had T concentration levels under the detection limit (<0.04); autumn,Silverin,121
Bird,Parus,major,Great tit,"Gothenburg, south-west Sweden",null,null,57.716252,11.974983,Estimated,4,null,null,null,Nonbreeding,null,null,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,9:00,13:00,"mist net, traps in nest boxes",null,null,null,null,null,null,RIA,null,null,null,testosterone,0.311416,0.053333,59.3260884,12,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Silverin,121
Bird,Parus,major,Great tit,"Gothenburg, south-west Sweden",null,null,57.716252,11.974983,Estimated,4,null,null,null,Nonbreeding,null,null,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,9:00,13:00,"mist net, traps in nest boxes",null,null,null,null,null,null,RIA,null,null,null,testosterone,0.31195295,0.07905337,191.3236772,57,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,all male individuals; August was excluded because all but 4 males had T concentration levels under the detection limit (<0.04); autumn,Silverin,121
Bird,Parus,major,Great tit,"Gothenburg, south-west Sweden",null,null,57.716252,11.974983,Estimated,4,null,null,null,Breeding,null,null,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,9:00,13:00,"mist net, traps in nest boxes",null,null,null,null,null,null,RIA,null,null,null,testosterone,0.3121728,0.054036138,93.21552304,29,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,all male individuals,Silverin,121
Bird,Parus,major,Great tit,"Gothenburg, south-west Sweden",null,null,57.716252,11.974983,Estimated,4,null,null,null,Nonbreeding,null,null,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,9:00,13:00,"mist net, traps in nest boxes",null,null,null,null,null,null,RIA,null,null,null,testosterone,0.3196695,0.072743423,140.2763089,38,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,all male individuals; winter,Silverin,121
Bird,Parus,major,Great tit,"Gothenburg, south-west Sweden",null,null,57.716252,11.974983,Estimated,4,null,null,null,Breeding,null,Prebreeding,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,9:00,13:00,"mist net, traps in nest boxes",null,null,null,null,null,null,RIA,null,null,null,testosterone,0.706757145,0.135287055,85.6053748,20,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,all male individuals,Silverin,121
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Nonbreeding,null,null,Y,N,N,N,N,N,N,N,N,N,N,N,Y,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.1767233,null,null,22,null,null,N,0.2398754,0.0370573,67.33872078,19,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Nonbreeding,null,null,Y,N,N,N,N,N,N,N,N,N,N,Y,N,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.2243074,null,null,32,null,null,N,0.2082602,0.0304909,76.07568028,27,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Nonbreeding,null,null,Y,N,N,N,N,N,N,N,N,N,Y,N,N,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.2719365,0.0736227,85.61389129,10,null,null,N,0.1513107,0.0314277,68.88732186,11,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Nonbreeding,null,null,Y,N,Y,N,N,N,N,N,N,N,N,N,N,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.276221,0.0437437,75.94911879,23,null,null,N,0.2374534,0.035649,49.79265707,11,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Nonbreeding,null,null,Y,Y,N,N,N,N,N,N,N,N,N,N,N,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.31369,0.0707385,67.65134368,9,null,null,N,0.2841676,0.0984978,98.03856923,8,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Breeding,null,null,Y,N,N,N,N,N,Y,N,N,N,N,N,N,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.3212553,0.0429596,48.21493702,13,null,null,N,0.1308231,0.0398729,80.63849385,7,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Nonbreeding,null,null,Y,N,N,N,N,N,N,N,N,Y,N,N,N,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.334,0.062,55.68862275,9,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,values from the text; Adults only; Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Breeding,null,Young care,Y,null,null,null,null,null,null,null,null,null,null,null,null,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.361,0.101,111.9113573,16,null,null,N,0.13,0.036,73.26695938,7,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Nonbreeding,null,null,Y,N,N,N,N,N,N,Y,N,N,N,N,N,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.371842,0.0368453,40.85527286,17,null,null,N,0.11459,0.0281458,77.67242741,10,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Nonbreeding,null,null,Y,N,N,N,N,N,N,N,Y,N,N,N,N,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.424,0.073,76.99668036,20,null,null,N,0.078,0.004,7.252377243,2,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,values from the text; Adults only; Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Nonbreeding,null,null,Y,N,N,N,N,N,N,N,N,Y,N,N,N,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.4975643,0.0844189,79.57961192,22,null,null,N,0.130001,0.0253303,67.49696782,12,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Nonbreeding,null,null,Y,N,N,Y,N,N,N,N,N,N,N,N,N,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.5109215,0.0485282,49.35394655,27,null,null,N,0.209976,0.03890309,84.90320546,21,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Estradiol was only measured on females,Silverin,122
Bird,Parus,montanus,Willow tit,"East of Gothenburg, south-west Sweden",null,null,57.71038,12.10327,Estimated,120,null,null,null,Nonbreeding,null,null,Y,N,N,N,N,N,N,N,Y,N,N,N,N,8:00,13:00,"mist net, playback","Active, Attractant",null,null,null,null,null,RIA,null,null,null,testosterone,0.6402734,0.0966932,106.7862844,50,null,null,N,0.311805,0.0791948,126.9941149,25,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Estradiol was only measured on females,Silverin,122
