Vert_Group,Genus,Species,Common_name,Population_1,Population_2,Population_3,Latitude,Longitude,LatLongEst,Elevation,Years,Year_1,Year_final,Breeding_Cycle,Moult,Life_Stage,LifeHistConf,Jan_Sampled,Feb_Sampled,Mar_Sampled,Apr_Sampled,May_Sampled,June_Sampled,July_Sampled,Aug_Sampled,Sept_Sampled,Oct_Sampled,Nov_Sampled,Dec_Sampled,Time_min,Time_max,CaptureMethod,SampleMethod,MaxLatency_A,MaxLate_Cort,LateStressCort,StressorType,MajorStressPop,Method,A_AntibodyKit,Cort_AntibodyKit,CORT,Androgen,M_A_Mean,M_A_SE,M_A_CV,M_A_N,M_A_Min,M_A_Max,M_A_RemoveOutlier,F_A_Mean,F_A_SE,F_A_CV,F_A_N,F_A_Min,F_A_Max,F_A_RemoveOutlier,M_BC_Mean,M_BC_SE,M_BC_CV,M_BC_N,M_BC_Min,M_BC_Max,M_BC_RemoveOutlir,F_BC_Mean,F_BC_SE,F_BC_CV,F_BC_N,F_BC_Min,F_BC_Max,F_BC_RemoveOutlir,M_SC_Mean,M_SC_SE,M_SC_CV,M_SC_N,M_SC_Min,M_SC_Max,M_SC_RemoveOutlier,F_SC_Mean,F_SC_SE,F_SC_CV,F_SC_N,F_SC_Min,F_SC_Max,F_SC_RemoveOutlier,OutlierCriteria,Notes,Lab_ID,Ref_ID
Amphibian,Bombina,pachypus,Appenine yellow-bellied toad,"Luarino, Salerno, Italy",null,null,40.3362096,15.3356982,Estimated,600,1992,1992,1992,Breeding,null,null,N,N,N,N,N,N,N,N,Y,N,N,N,N,null,null,Captured by hand,Active,1440,null,null,null,null,RIA,"Sorin-Biomedica kit, Testok",null,null,testosterone,1.78701,0.5688149,45.01517877,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Angelini,463
Amphibian,Bombina,pachypus,Appenine yellow-bellied toad,"Luarino, Salerno, Italy",null,null,40.3362096,15.3356982,Estimated,600,1992,1992,1992,Breeding,null,null,N,N,N,N,N,N,Y,N,N,N,N,N,N,null,null,Captured by hand,Active,1440,null,null,null,null,RIA,"Sorin-Biomedica kit, Testok",null,null,testosterone,1.82839,0.7194718,68.15623101,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Angelini,463
Amphibian,Bombina,pachypus,Appenine yellow-bellied toad,"Luarino, Salerno, Italy",null,null,40.3362096,15.3356982,Estimated,600,1992,1992,1992,Breeding,null,null,N,N,N,N,N,N,N,Y,N,N,N,N,N,null,null,Captured by hand,Active,1440,null,null,null,null,RIA,"Sorin-Biomedica kit, Testok",null,null,testosterone,2.23463,0.91003775,57.59287794,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Angelini,463
Amphibian,Bombina,pachypus,Appenine yellow-bellied toad,"Luarino, Salerno, Italy",null,null,40.3362096,15.3356982,Estimated,600,1991,1991,1991,Breeding,null,null,N,N,N,N,N,Y,N,N,N,N,N,N,N,null,null,Captured by hand,Active,1440,null,null,null,null,RIA,"Sorin-Biomedica kit, Testok",null,null,testosterone,3.08022,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Angelini,463
Amphibian,Bombina,pachypus,Appenine yellow-bellied toad,"Luarino, Salerno, Italy",null,null,40.3362096,15.3356982,Estimated,600,1991,1991,1991,Breeding,null,null,N,N,N,N,N,N,N,Y,N,N,N,N,N,null,null,Captured by hand,Active,1440,null,null,null,null,RIA,"Sorin-Biomedica kit, Testok",null,null,testosterone,3.66732,0.4811,26.2371432,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Angelini,463
Amphibian,Bombina,pachypus,Appenine yellow-bellied toad,"Luarino, Salerno, Italy",null,null,40.3362096,15.3356982,Estimated,600,1991,1991,1991,Breeding,null,null,N,N,N,N,N,N,N,N,Y,N,N,N,N,null,null,Captured by hand,Active,1440,null,null,null,null,RIA,"Sorin-Biomedica kit, Testok",null,null,testosterone,4.76455,0.242848,8.828222487,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Angelini,463
Amphibian,Bombina,pachypus,Appenine yellow-bellied toad,"Luarino, Salerno, Italy",null,null,40.3362096,15.3356982,Estimated,600,1991,1991,1991,Breeding,null,null,N,N,N,N,N,N,N,N,N,Y,N,N,N,null,null,Captured by hand,Active,1440,null,null,null,null,RIA,"Sorin-Biomedica kit, Testok",null,null,testosterone,6.39283,1.0370285,32.44348747,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Angelini,463
Amphibian,Bufo,asper,Asian giant toad,"Ulu Gombak field study center, Kuala Lumpur, Malaysia",null,null,3.139003,101.686855,Estimated,52,1995,1995,1995,Breeding,null,null,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,null,0:00,captured by hand,"Active, Killed",2,2,null,null,null,RIA,Emmerson et al. 1993,null,corticosterone,testosterone,1.2,null,null,18,null,null,null,null,null,null,null,null,null,null,4.03,null,null,18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Time min given was dusk ,Hess,454
Amphibian,Bufo,asper,Asian giant toad,"Ulu Gombak field study center, Kuala Lumpur, Malaysia",null,null,3.139003,101.686855,Estimated,52,null,null,null,Breeding,null,null,Y,null,null,null,null,null,null,null,null,null,null,null,null,null,null,captured by hand,null,2,null,null,null,null,RIA,"Emerson, Rowsemitt, and Hess 1993",null,null,testosterone,5.1,null,null,18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hess,455
Amphibian,Bufo,bankorensis,Taiwan common toad,"Meifong, Nantou County, central Taiwan",null,null,24.0833333,121.1666667,Reported,2100,1992,1992,1992,Breeding,null,null,Y,N,N,N,N,N,N,N,N,N,Y,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,0.93,3.02,918.4784857,8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Meifong, Nantou County, central Taiwan",null,null,24.0833333,121.1666667,Reported,2100,1992,1992,1992,Breeding,null,null,Y,N,N,Y,N,N,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,2.033,3.96,674.7586029,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Meifong, Nantou County, central Taiwan",null,null,24.0833333,121.1666667,Reported,2100,1992,1992,1992,Breeding,null,null,Y,N,N,N,Y,N,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,4.95,3.79,286.4824545,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Wushe, Nantou County, central Taiwan",null,null,23.5,121.1333333,Reported,1100,1992,1992,1992,Breeding,null,null,Y,N,N,Y,N,N,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,6.03,3.97,218.3582159,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Meifong, Nantou County, central Taiwan",null,null,24.0833333,121.1666667,Reported,2100,1992,1992,1992,Breeding,null,null,Y,N,Y,N,N,N,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,6.044,2.8571,163.7538836,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
